#         t          x          y          z         vx         vy         vz
      4.770     84.932    147.164    137.821     49.188   -156.763    -73.244
      4.780     85.420    145.590    137.082     48.432   -158.061    -74.466
      4.790     85.900    144.003    136.331     47.658   -159.369    -75.703
      4.800     86.373    142.403    135.568     46.866   -160.688    -76.957
      4.810     86.838    140.789    134.792     46.053   -162.016    -78.228
      4.820     87.294    139.162    134.003     45.220   -163.355    -79.516
      4.830     87.742    137.522    133.201     44.367   -164.704    -80.822
      4.840     88.181    135.868    132.387     43.492   -166.064    -82.146
      4.850     88.612    134.201    131.558     42.594   -167.435    -83.489
      4.860     89.033    132.519    130.717     41.673   -168.818    -84.851
      4.870     89.445    130.824    129.861     40.729   -170.211    -86.233
      4.880     89.847    129.115    128.992     39.760   -171.616    -87.635
      4.890     90.240    127.392    128.109     38.765   -173.033    -89.059
      4.900     90.623    125.654    127.211     37.744   -174.462    -90.503
      4.910     90.995    123.903    126.298     36.695   -175.903    -91.970
      4.920     91.356    122.136    125.371     35.618   -177.356    -93.460
      4.930     91.707    120.355    124.429     34.511   -178.822    -94.974
      4.940     92.046    118.560    123.472     33.374   -180.301    -96.511
      4.950     92.374    116.749    122.499     32.205   -181.792    -98.074
      4.960     92.690    114.924    121.510     31.003   -183.297    -99.662
      4.970     92.994    113.083    120.505     29.767   -184.815   -101.278
      4.980     93.286    111.228    119.484     28.495   -186.347   -102.920
      4.990     93.564    109.356    118.447     27.186   -187.892   -104.591
      5.000     93.829    107.470    117.392     25.838   -189.452   -106.291
      5.010     94.081    105.567    116.321     24.450   -191.025   -108.022
      5.020     94.318    103.649    115.232     23.020   -192.613   -109.783
      5.030     94.541    101.715    114.125     21.547   -194.215   -111.577
      5.040     94.749     99.765    113.000     20.027   -195.832   -113.405
      5.050     94.941     97.798    111.857     18.461   -197.464   -115.266
      5.060     95.118     95.815    110.695     16.844   -199.111   -117.164
      5.070     95.278     93.816    109.513     15.176   -200.773   -119.099
      5.080     95.421     91.800    108.312     13.453   -202.450   -121.072
      5.090     95.546     89.767    107.092     11.673   -204.142   -123.084
      5.100     95.654     87.717    105.850      9.833   -205.850   -125.138
      5.110     95.743     85.650    104.589      7.931   -207.572   -127.235
      5.120     95.812     83.565    103.306      5.964   -209.310   -129.376
      5.130     95.862     81.463    102.001      3.928   -211.064   -131.563
      5.140     95.890     79.344    100.674      1.819   -212.832   -133.798
      5.150     95.898     77.207     99.325     -0.366   -214.615   -136.082
      5.160     95.883     75.052     97.952     -2.630   -216.413   -138.418
      5.170     95.845     72.878     96.556     -4.979   -218.225   -140.808
      5.180     95.783     70.687     95.136     -7.417   -220.052   -143.254
      5.190     95.696     68.477     93.691     -9.948   -221.891   -145.757
      5.200     95.583     66.249     92.220    -12.579   -223.744   -148.322
      5.210     95.444     64.002     90.724    -15.314   -225.609   -150.949
      5.220     95.276     61.737     89.201    -18.159   -227.485   -153.642
      5.230     95.080     59.453     87.651    -21.123   -229.372   -156.403
      5.240     94.853     57.149     86.073    -24.210   -231.267   -159.236
      5.250     94.595     54.827     84.466    -27.429   -233.170   -162.143
      5.260     94.304     52.486     82.829    -30.789   -235.079   -165.129
      5.270     93.979     50.126     81.163    -34.298   -236.991   -168.195
      5.280     93.617     47.746     79.465    -37.966   -238.904   -171.346
      5.290     93.218     45.348     77.735    -41.803   -240.816   -174.586
      5.300     92.780     42.930     75.973    -45.821   -242.723   -177.919
      5.310     92.301     40.493     74.176    -50.033   -244.622   -181.348
      5.320     91.779     38.038     72.345    -54.451   -246.507   -184.878
      5.330     91.211     35.563     70.478    -59.092   -248.373   -188.514
      5.340     90.596     33.070     68.574    -63.970   -250.215   -192.260
      5.350     89.930     30.559     66.633    -69.105   -252.025   -196.121
      5.360     89.212     28.030     64.651    -74.515   -253.794   -200.102
      5.370     88.438     25.483     62.630    -80.221   -255.513   -204.208
      5.380     87.606     22.920     60.567    -86.248   -257.170   -208.444
      5.390     86.712     20.340     58.460    -92.620   -258.751   -212.816
      5.400     85.752     17.745     56.310    -99.367   -260.241   -217.327
      5.410     84.722     15.136     54.113   -106.520   -261.621   -221.983
      5.420     83.619     12.514     51.869   -114.113   -262.868   -226.788
      5.430     82.438      9.879     49.577   -122.184   -263.957   -231.745
      5.440     81.173      7.235     47.234   -130.775   -264.855   -236.856
      5.450     79.819      4.584     44.839   -139.931   -265.527   -242.124
      5.460     78.371      1.926     42.390   -149.704   -265.930   -247.547
      5.470     76.822     -0.733     39.887   -160.148   -266.010   -253.120
      5.480     75.165     -3.392     37.327   -171.324   -265.706   -258.838
      5.490     73.392     -6.045     34.710   -183.296   -264.946   -264.687
      5.500     71.494     -8.688     32.033   -196.135   -263.640   -270.650
      5.510     69.464    -11.315     29.296   -209.915   -261.685   -276.699
      5.520     67.291    -13.918     26.499   -224.712   -258.955   -282.795
      5.530     64.964    -16.489     23.640   -240.603   -255.301   -288.885
      5.540     62.473    -19.019     20.721   -257.663   -250.547   -294.898
      5.550     59.805    -21.494     17.743   -275.957   -244.486   -300.735
      5.560     56.948    -23.901     14.708   -295.534   -236.875   -306.269
      5.570     53.888    -26.222     11.620   -316.413   -227.433   -311.334
      5.580     50.613    -28.438      8.485   -338.568   -215.844   -315.715
      5.590     47.111    -30.527      5.311   -361.906   -201.762   -319.144
      5.600     43.370    -32.459      2.108   -386.238   -184.824   -321.289
      5.610     39.382    -34.207     -1.106   -411.243   -164.680   -321.671
      5.620     35.144    -35.736     -4.313   -436.409   -141.062   -319.658
      5.630     30.657    -37.010     -7.486   -461.057   -113.812   -315.029
      5.640     25.930    -37.994    -10.598   -484.341    -82.950   -307.361
      5.650     20.982    -38.652    -13.617   -505.269    -48.757   -296.318
      5.660     15.841    -38.955    -16.507   -522.789    -11.832   -281.733
      5.670     10.548    -38.880    -19.234   -535.923     26.906   -263.688
      5.680      5.149    -38.414    -21.765   -543.919     66.279   -242.544
      5.690     -0.303    -37.558    -24.073   -546.388    104.985   -218.935
      5.700     -5.752    -36.324    -26.136   -543.373    141.775   -193.687
      5.710    -11.145    -34.737    -27.943   -535.327    175.612   -167.702
      5.720    -16.437    -32.830    -29.490   -523.010    205.784   -141.836
      5.730    -21.589    -30.641    -30.784   -507.347    231.929   -116.806
      5.740    -26.572    -28.212    -31.833   -489.287    253.999    -93.140
      5.750    -31.367    -25.581    -32.655   -469.703    272.182    -71.175
      5.760    -35.962    -22.786    -33.266   -449.331    286.816    -51.077
      5.770    -40.352    -19.860    -33.686   -428.750    298.317    -32.885
      5.780    -44.538    -16.833    -33.933   -408.392    307.117    -16.546
      5.790    -48.523    -13.729    -34.026   -388.557    313.631     -1.951
      5.800    -52.313    -10.570    -33.980   -369.444    318.237     11.038
      5.810    -55.916     -7.372    -33.812   -351.170    321.266     22.572
      5.820    -59.341     -4.151    -33.535   -333.797    323.003     32.804
      5.830    -62.596     -0.918    -33.162   -317.344    323.687     41.875
      5.840    -65.692      2.318    -32.703   -301.801    323.518     49.920
      5.850    -68.637      5.549    -32.168   -287.143    322.659     57.058
      5.860    -71.439      8.769    -31.566   -273.330    321.247     63.396
      5.870    -74.107     11.972    -30.904   -260.318    319.393     69.030
      5.880    -76.649     15.155    -30.188   -248.060    317.187     74.043
      5.890    -79.072     18.314    -29.426   -236.506    314.704     78.506
      5.900    -81.383     21.448    -28.621   -225.611    312.004     82.486
      5.910    -83.587     24.554    -27.778   -215.328    309.137     86.036
      5.920    -85.692     27.630    -26.902   -205.613    306.142     89.206
      5.930    -87.702     30.676    -25.996   -196.427    303.053     92.038
      5.940    -89.623     33.691    -25.063   -187.732    299.897     94.570
      5.950    -91.459     36.674    -24.106   -179.493    296.695     96.833
      5.960    -93.215     39.624    -23.127   -171.676    293.466     98.856
      5.970    -94.895     42.543    -22.129   -164.253    290.224    100.664
      5.980    -96.502     45.429    -21.115   -157.196    286.980    102.280
      5.990    -98.040     48.283    -20.085   -150.480    283.744    103.722
      6.000    -99.513     51.104    -19.041   -144.080    280.525    105.008
      6.010   -100.923     53.893    -17.985   -137.977    277.328    106.152
      6.020   -102.274     56.651    -16.919   -132.150    274.158    107.170
      6.030   -103.568     59.376    -15.842   -126.582    271.019    108.072
      6.040   -104.807     62.071    -14.758   -121.255    267.915    108.869
      6.050   -105.994     64.735    -13.666   -116.155    264.847    109.570
      6.060   -107.131     67.368    -12.567   -111.267    261.817    110.185
      6.070   -108.220     69.972    -11.462   -106.579    258.827    110.721
      6.080   -109.264     72.545    -10.353   -102.078    255.877    111.184
      6.090   -110.263     75.089     -9.239    -97.753    252.969    111.582
      6.100   -111.219     77.605     -8.121    -93.594    250.102    111.918
      6.110   -112.135     80.092     -7.001    -89.592    247.277    112.200
      6.120   -113.012     82.550     -5.878    -85.738    244.492    112.430
      6.130   -113.851     84.982     -4.752    -82.024    241.749    112.613
      6.140   -114.653     87.386     -3.626    -78.442    239.047    112.754
      6.150   -115.420     89.763     -2.498    -74.984    236.385    112.854
      6.160   -116.154     92.113     -1.369    -71.646    233.763    112.917
      6.170   -116.854     94.438     -0.239    -68.419    231.180    112.945
      6.180   -117.522     96.737      0.890    -65.300    228.635    112.934
      6.190   -118.160     99.011      2.019    -62.282    226.129    112.890
      6.200   -118.769    101.260      3.148    -59.360    223.659    112.820
      6.210   -119.348    103.484      4.275    -56.531    221.226    112.725
      6.220   -119.900    105.685      5.402    -53.789    218.829    112.607
      6.230   -120.424    107.861      6.527    -51.130    216.466    112.469
      6.240   -120.923    110.014      7.651    -48.551    214.138    112.311
      6.250   -121.396    112.144      8.774    -46.047    211.843    112.136
      6.260   -121.844    114.251      9.894    -43.617    209.581    111.943
      6.270   -122.268    116.336     11.012    -41.255    207.350    111.735
      6.280   -122.669    118.398     12.129    -38.960    205.150    111.513
      6.290   -123.048    120.439     13.243    -36.728    202.981    111.278
      6.300   -123.404    122.458     14.354    -34.557    200.841    111.029
      6.310   -123.739    124.456     15.463    -32.444    198.731    110.769
      6.320   -124.053    126.433     16.569    -30.388    196.648    110.499
      6.330   -124.347    128.389     17.673    -28.384    194.593    110.218
      6.340   -124.621    130.325     18.774    -26.432    192.565    109.928
      6.350   -124.876    132.241     19.871    -24.530    190.563    109.629
      6.360   -125.112    134.136     20.966    -22.675    188.586    109.321
      6.370   -125.330    136.012     22.058    -20.866    186.634    109.006
      6.380   -125.530    137.869     23.146    -19.100    184.707    108.684
      6.390   -125.712    139.707     24.232    -17.377    182.803    108.355
      6.400   -125.877    141.525     25.313    -15.695    180.923    108.020
      6.410   -126.026    143.325     26.392    -14.052    179.065    107.679
      6.420   -126.159    145.107     27.467    -12.447    177.229    107.333
      6.430   -126.275    146.870     28.539    -10.879    175.415    106.981
      6.440   -126.376    148.615     29.607     -9.345    173.622    106.625
      6.450   -126.462    150.342     30.671     -7.846    171.849    106.264
      6.460   -126.533    152.052     31.732     -6.380    170.097    105.899
      6.470   -126.590    153.744     32.789     -4.945    168.364    105.530
      6.480   -126.633    155.420     33.842     -3.542    166.650    105.157
      6.490   -126.661    157.078     34.892     -2.168    164.955    104.781
      6.500   -126.676    158.719     35.938     -0.822    163.278    104.402
      6.510   -126.678    160.343     36.980      0.495    161.619    104.020
      6.520   -126.666    161.951     38.018      1.786    159.977    103.635
      6.530   -126.642    163.543     39.053      3.050    158.352    103.247
      6.540   -126.605    165.118     40.083      4.289    156.744    102.857
      6.550   -126.556    166.678     41.110      5.504    155.153    102.465
      6.560   -126.495    168.221     42.133      6.694    153.577    102.071
      6.570   -126.423    169.749     43.151      7.862    152.016    101.674
      6.580   -126.338    171.262     44.166      9.007    150.471    101.276
      6.590   -126.243    172.759     45.177     10.131    148.941    100.876
      6.600   -126.136    174.241     46.184     11.233    147.425    100.474
      6.610   -126.018    175.708     47.186     12.315    145.924    100.071
      6.620   -125.890    177.159     48.185     13.377    144.437     99.667
      6.630   -125.751    178.596     49.180     14.419    142.963     99.261
      6.640   -125.601    180.019     50.170     15.443    141.502     98.854
      6.650   -125.442    181.426     51.157     16.448    140.055     98.446
      6.660   -125.272    182.820     52.139     17.436    138.620     98.037
      6.670   -125.093    184.199     53.117     18.406    137.198     97.627
      6.680   -124.904    185.564     54.092     19.359    135.788     97.216
      6.690   -124.706    186.915     55.062     20.296    134.390     96.804
      6.700   -124.499    188.252     56.028     21.216    133.004     96.392
      6.710   -124.282    189.575     56.990     22.122    131.630     95.978
      6.720   -124.056    190.884     57.947     23.011    130.266     95.564
      6.730   -123.822    192.180     58.901     23.886    128.914     95.150
      6.740   -123.579    193.463     59.850     24.747    127.573     94.735
      6.750   -123.327    194.732     60.796     25.594    126.242     94.319
      6.760   -123.067    195.988     61.737     26.426    124.921     93.903
      6.770   -122.798    197.230     62.674     27.245    123.611     93.487
      6.780   -122.522    198.460     63.606     28.052    122.311     93.070
      6.790   -122.237    199.676     64.535     28.845    121.020     92.653
      6.800   -121.945    200.880     65.459     29.626    119.739     92.235
      6.810   -121.645    202.071     66.380     30.394    118.468     91.817
      6.820   -121.337    203.250     67.296     31.151    117.206     91.399
      6.830   -121.022    204.415     68.208     31.896    115.953     90.981
      6.840   -120.699    205.569     69.115     32.630    114.708     90.562
      6.850   -120.370    206.710     70.019     33.352    113.473     90.144
      6.860   -120.032    207.838     70.918     34.064    112.246     89.725
      6.870   -119.688    208.955     71.813     34.765    111.027     89.306
      6.880   -119.337    210.059     72.704     35.455    109.816     88.887
      6.890   -118.979    211.151     73.591     36.136    108.614     88.467
      6.900   -118.615    212.231     74.474     36.806    107.419     88.048
      6.910   -118.243    213.299     75.352     37.466    106.233     87.629
      6.920   -117.865    214.356     76.226     38.117    105.054     87.209
      6.930   -117.481    215.401     77.096     38.759    103.882     86.789
      6.940   -117.090    216.434     77.962     39.391    102.718     86.370
      6.950   -116.693    217.455     78.824     40.015    101.561     85.950
      6.960   -116.290    218.465     79.681     40.630    100.411     85.531
      6.970   -115.881    219.463     80.534     41.236     99.268     85.111
      6.980   -115.465    220.450     81.383     41.833     98.131     84.691
      6.990   -115.044    221.426     82.228     42.422     97.002     84.271
      7.000   -114.617    222.390     83.069     43.003     95.879     83.852
      7.010   -114.184    223.343     83.905     43.577     94.762     83.432
      7.020   -113.745    224.286     84.737     44.142     93.652     83.012
      7.030   -113.301    225.217     85.565     44.699     92.548     82.593
      7.040   -112.851    226.137     86.389     45.250     91.450     82.173
      7.050   -112.396    227.046     87.209     45.792     90.358     81.753
      7.060   -111.936    227.944     88.024     46.328     89.273     81.334
      7.070   -111.470    228.831     88.836     46.856     88.192     80.914
      7.080   -110.998    229.708     89.643     47.377     87.118     80.495
      7.090   -110.522    230.573     90.445     47.892     86.049     80.075
      7.100   -110.041    231.429     91.244     48.399     84.986     79.656
      7.110   -109.554    232.273     92.039     48.900     83.928     79.236
      7.120   -109.063    233.107     92.829     49.395     82.875     78.817
      7.130   -108.566    233.931     93.615     49.883     81.827     78.397
      7.140   -108.065    234.744     94.397     50.365     80.785     77.978
      7.150   -107.559    235.546     95.174     50.841     79.748     77.558
      7.160   -107.048    236.339     95.948     51.310     78.715     77.139
      7.170   -106.533    237.121     96.717     51.774     77.688     76.719
      7.180   -106.013    237.893     97.482     52.231     76.665     76.300
      7.190   -105.488    238.654     98.243     52.683     75.647     75.881
      7.200   -104.959    239.405     99.000     53.129     74.633     75.461
      7.210   -104.426    240.147     99.752     53.570     73.624     75.042
      7.220   -103.888    240.878    100.501     54.005     72.619     74.622
      7.230   -103.346    241.599    101.245     54.435     71.619     74.203
      7.240   -102.799    242.310    101.985     54.859     70.623     73.784
      7.250   -102.248    243.012    102.721     55.278     69.631     73.364
      7.260   -101.694    243.703    103.452     55.692     68.644     72.945
      7.270   -101.135    244.385    104.179     56.100     67.660     72.525
      7.280   -100.572    245.056    104.903     56.504     66.681     72.105
      7.290   -100.005    245.718    105.622     56.903     65.705     71.686
      7.300    -99.434    246.370    106.336     57.297     64.733     71.266
      7.310    -98.859    247.013    107.047     57.686     63.765     70.846
      7.320    -98.280    247.646    107.753     58.070     62.801     70.426
      7.330    -97.697    248.269    108.455     58.450     61.840     70.006
      7.340    -97.111    248.882    109.153     58.825     60.883     69.586
      7.350    -96.521    249.487    109.847     59.195     59.929     69.166
      7.360    -95.927    250.081    110.537     59.561     58.979     68.746
      7.370    -95.330    250.666    111.222     59.923     58.032     68.326
      7.380    -94.729    251.242    111.903     60.280     57.089     67.905
      7.390    -94.124    251.808    112.580     60.633     56.149     67.485
      7.400    -93.516    252.365    113.253     60.982     55.212     67.064
      7.410    -92.904    252.912    113.921     61.326     54.278     66.643
      7.420    -92.289    253.450    114.586     61.667     53.348     66.222
      7.430    -91.671    253.979    115.246     62.003     52.420     65.801
      7.440    -91.049    254.499    115.902     62.335     51.496     65.379
      7.450    -90.424    255.009    116.553     62.663     50.574     64.958
      7.460    -89.796    255.510    117.201     62.988     49.655     64.536
      7.470    -89.165    256.002    117.844     63.308     48.739     64.114
      7.480    -88.530    256.485    118.483     63.625     47.826     63.692
      7.490    -87.892    256.959    119.118     63.938     46.916     63.270
      7.500    -87.251    257.423    119.749     64.247     46.008     62.847
      7.510    -86.607    257.879    120.375     64.552     45.103     62.424
      7.520    -85.960    258.325    120.997     64.854     44.200     62.001
      7.530    -85.310    258.763    121.615     65.152     43.300     61.578
      7.540    -84.657    259.191    122.229     65.447     42.402     61.155
      7.550    -84.001    259.611    122.838     65.738     41.507     60.731
      7.560    -83.342    260.022    123.443     66.025     40.614     60.307
      7.570    -82.681    260.423    124.044     66.309     39.724     59.882
      7.580    -82.016    260.816    124.641     66.590     38.836     59.457
      7.590    -81.349    261.200    125.233     66.867     37.950     59.032
      7.600    -80.679    261.575    125.822     67.141     37.066     58.607
      7.610    -80.006    261.941    126.406     67.412     36.184     58.181
      7.620    -79.331    262.299    126.985     67.679     35.305     57.755
      7.630    -78.653    262.647    127.561     67.943     34.428     57.329
      7.640    -77.972    262.987    128.132     68.204     33.552     56.902
      7.650    -77.289    263.319    128.699     68.462     32.679     56.475
      7.660    -76.603    263.641    129.261     68.716     31.807     56.047
      7.670    -75.914    263.955    129.820     68.967     30.938     55.619
      7.680    -75.223    264.260    130.374     69.216     30.070     55.191
      7.690    -74.530    264.556    130.923     69.461     29.204     54.762
      7.700    -73.834    264.844    131.469     69.703     28.340     54.333
      7.710    -73.136    265.123    132.010     69.942     27.477     53.903
      7.720    -72.435    265.393    132.547     70.179     26.616     53.473
      7.730    -71.732    265.655    133.080     70.412     25.757     53.042
      7.740    -71.027    265.908    133.608     70.642     24.900     52.611
      7.750    -70.320    266.153    134.132     70.869     24.044     52.179
      7.760    -69.610    266.389    134.651     71.094     23.189     51.747
      7.770    -68.898    266.617    135.167     71.316     22.336     51.314
      7.780    -68.183    266.836    135.678     71.534     21.485     50.881
      7.790    -67.467    267.047    136.184     71.750     20.635     50.447
      7.800    -66.748    267.249    136.687     71.964     19.786     50.013
      7.810    -66.028    267.442    137.185     72.174     18.938     49.578
      7.820    -65.305    267.628    137.678     72.382     18.092     49.143
      7.830    -64.580    267.804    138.167     72.587     17.248     48.706
      7.840    -63.853    267.973    138.652     72.789     16.404     48.270
      7.850    -63.124    268.132    139.133     72.988     15.562     47.832
      7.860    -62.394    268.284    139.609     73.185     14.720     47.394
      7.870    -61.661    268.427    140.081     73.379     13.880     46.956
      7.880    -60.926    268.561    140.548     73.571     13.041     46.516
      7.890    -60.189    268.688    141.011     73.760     12.203     46.076
      7.900    -59.451    268.805    141.470     73.946     11.367     45.635
      7.910    -58.710    268.915    141.924     74.130     10.531     45.194
      7.920    -57.968    269.016    142.373     74.311      9.696     44.752
      7.930    -57.224    269.109    142.819     74.489      8.862     44.309
      7.940    -56.478    269.193    143.260     74.665      8.028     43.865
      7.950    -55.731    269.269    143.696     74.839      7.196     43.421
      7.960    -54.982    269.337    144.128     75.010      6.365     42.976
      7.970    -54.231    269.397    144.556     75.178      5.534     42.530
      7.980    -53.478    269.448    144.979     75.344      4.704     42.083
      7.990    -52.724    269.491    145.397     75.508      3.875     41.635
      8.000    -51.968    269.525    145.811     75.668      3.046     41.187
      8.010    -51.210    269.552    146.221     75.827      2.218     40.737
      8.020    -50.451    269.570    146.626     75.983      1.391     40.287
      8.030    -49.691    269.580    147.027     76.136      0.564     39.836
      8.040    -48.929    269.581    147.423     76.288     -0.262     39.384
      8.050    -48.165    269.574    147.814     76.436     -1.088     38.931
      8.060    -47.400    269.559    148.201     76.583     -1.913     38.477
      8.070    -46.633    269.536    148.584     76.726     -2.737     38.022
      8.080    -45.865    269.505    148.962     76.868     -3.562     37.566
      8.090    -45.096    269.465    149.335     77.007     -4.386     37.109
      8.100    -44.325    269.417    149.704     77.144     -5.209     36.651
      8.110    -43.553    269.361    150.068     77.278     -6.032     36.193
      8.120    -42.780    269.296    150.428     77.410     -6.855     35.733
      8.130    -42.005    269.224    150.783     77.539     -7.678     35.272
      8.140    -41.229    269.143    151.133     77.666     -8.500     34.810
      8.150    -40.452    269.054    151.479     77.791     -9.322     34.346
      8.160    -39.673    268.956    151.820     77.914    -10.144     33.882
      8.170    -38.893    268.851    152.157     78.034    -10.966     33.417
      8.180    -38.113    268.737    152.489     78.151    -11.788     32.950
      8.190    -37.330    268.615    152.816     78.267    -12.609     32.483
      8.200    -36.547    268.485    153.138     78.380    -13.431     32.014
      8.210    -35.763    268.346    153.456     78.490    -14.253     31.544
      8.220    -34.977    268.200    153.769     78.599    -15.074     31.072
      8.230    -34.191    268.045    154.077     78.705    -15.896     30.600
      8.240    -33.403    267.882    154.381     78.808    -16.718     30.126
      8.250    -32.615    267.710    154.680     78.910    -17.539     29.651
      8.260    -31.825    267.531    154.974     79.009    -18.361     29.174
      8.270    -31.035    267.343    155.263     79.105    -19.184     28.696
      8.280    -30.243    267.147    155.548     79.199    -20.006     28.217
      8.290    -29.451    266.943    155.828     79.291    -20.829     27.737
      8.300    -28.657    266.731    156.103     79.381    -21.651     27.255
      8.310    -27.863    266.510    156.373     79.468    -22.475     26.772
      8.320    -27.068    266.281    156.638     79.553    -23.298     26.287
      8.330    -26.272    266.044    156.899     79.636    -24.122     25.801
      8.340    -25.475    265.799    157.154     79.716    -24.946     25.313
      8.350    -24.678    265.545    157.405     79.794    -25.771     24.824
      8.360    -23.879    265.283    157.651     79.869    -26.596     24.334
      8.370    -23.080    265.013    157.891     79.942    -27.422     23.841
      8.380    -22.281    264.735    158.127     80.013    -28.248     23.348
      8.390    -21.480    264.448    158.358     80.081    -29.075     22.852
      8.400    -20.679    264.153    158.584     80.147    -29.902     22.355
      8.410    -19.877    263.850    158.805     80.211    -30.730     21.857
      8.420    -19.075    263.539    159.022     80.272    -31.559     21.357
      8.430    -18.272    263.219    159.233     80.331    -32.388     20.855
      8.440    -17.468    262.891    159.439     80.387    -33.218     20.351
      8.450    -16.664    262.555    159.640     80.441    -34.049     19.846
      8.460    -15.859    262.210    159.836     80.493    -34.880     19.338
      8.470    -15.054    261.857    160.026     80.542    -35.713     18.829
      8.480    -14.248    261.496    160.212     80.589    -36.546     18.319
      8.490    -13.442    261.126    160.393     80.633    -37.380     17.806
      8.500    -12.636    260.748    160.568     80.675    -38.215     17.292
      8.510    -11.829    260.362    160.739     80.714    -39.051     16.775
      8.520    -11.022    259.967    160.904     80.751    -39.888     16.257
      8.530    -10.214    259.564    161.064     80.785    -40.726     15.737
      8.540     -9.406    259.153    161.218     80.817    -41.565     15.214
      8.550     -8.598    258.733    161.368     80.846    -42.406     14.690
      8.560     -7.789    258.305    161.512     80.872    -43.247     14.164
      8.570     -6.980    257.868    161.651     80.897    -44.090     13.635
      8.580     -6.171    257.423    161.785     80.918    -44.933     13.105
      8.590     -5.362    256.969    161.913     80.937    -45.778     12.572
      8.600     -4.552    256.507    162.036     80.953    -46.624     12.037
      8.610     -3.743    256.037    162.154     80.967    -47.472     11.500
      8.620     -2.933    255.558    162.266     80.978    -48.321     10.961
      8.630     -2.123    255.070    162.373     80.987    -49.171     10.419
      8.640     -1.313    254.574    162.475     80.992    -50.023      9.876
      8.650     -0.503    254.070    162.571     80.995    -50.876      9.329
      8.660      0.307    253.557    162.661     80.996    -51.731      8.781
      8.670      1.117    253.035    162.746     80.993    -52.587      8.230
      8.680      1.926    252.505    162.826     80.988    -53.445      7.676
      8.690      2.736    251.966    162.900     80.980    -54.305      7.120
      8.700      3.546    251.419    162.968     80.969    -55.166      6.562
      8.710      4.356    250.863    163.031     80.956    -56.029      6.001
      8.720      5.165    250.298    163.088     80.939    -56.893      5.437
      8.730      5.974    249.725    163.140     80.920    -57.760      4.871
      8.740      6.784    249.143    163.186     80.898    -58.628      4.302
      8.750      7.592    248.552    163.226     80.873    -59.498      3.731
      8.760      8.401    247.953    163.260     80.845    -60.370      3.156
      8.770      9.209    247.345    163.289     80.814    -61.244      2.579
      8.780     10.017    246.728    163.312     80.780    -62.120      1.999
      8.790     10.825    246.103    163.329     80.742    -62.998      1.416
      8.800     11.632    245.468    163.340     80.702    -63.878      0.830
      8.810     12.439    244.825    163.346     80.659    -64.760      0.241
      8.820     13.245    244.173    163.345     80.612    -65.644     -0.351
      8.830     14.051    243.512    163.339     80.563    -66.531     -0.945
      8.840     14.856    242.842    163.326     80.510    -67.420     -1.544
      8.850     15.661    242.164    163.308     80.454    -68.311     -2.145
      8.860     16.466    241.476    163.283     80.395    -69.205     -2.749
      8.870     17.269    240.780    163.253     80.332    -70.101     -3.357
      8.880     18.072    240.074    163.216     80.266    -70.999     -3.968
      8.890     18.874    239.360    163.173     80.196    -71.900     -4.582
      8.900     19.676    238.636    163.124     80.124    -72.803     -5.200
      8.910     20.477    237.904    163.069     80.047    -73.710     -5.822
      8.920     21.277    237.162    163.008     79.967    -74.618     -6.446
      8.930     22.076    236.411    162.940     79.884    -75.530     -7.075
      8.940     22.875    235.651    162.866     79.797    -76.444     -7.707
      8.950     23.672    234.882    162.786     79.706    -77.361     -8.343
      8.960     24.469    234.104    162.699     79.612    -78.281     -8.982
      8.970     25.264    233.317    162.606     79.514    -79.204     -9.626
      8.980     26.059    232.520    162.507     79.412    -80.130    -10.273
      8.990     26.853    231.714    162.401     79.306    -81.059    -10.924
      9.000     27.645    230.899    162.288     79.196    -81.991    -11.580
      9.010     28.437    230.074    162.169     79.082    -82.926    -12.239
      9.020     29.227    229.240    162.044     78.964    -83.864    -12.902
      9.030     30.016    228.397    161.911     78.842    -84.806    -13.570
      9.040     30.804    227.544    161.772     78.716    -85.751    -14.242
      9.050     31.590    226.682    161.626     78.586    -86.699    -14.919
      9.060     32.375    225.810    161.474     78.451    -87.651    -15.599
      9.070     33.159    224.929    161.314     78.313    -88.606    -16.285
      9.080     33.942    224.038    161.148     78.169    -89.565    -16.975
      9.090     34.722    223.138    160.975     78.021    -90.528    -17.669
      9.100     35.502    222.227    160.795     77.869    -91.494    -18.369
      9.110     36.280    221.308    160.607     77.712    -92.464    -19.073
      9.120     37.056    220.378    160.413     77.550    -93.438    -19.782
      9.130     37.831    219.439    160.212     77.384    -94.416    -20.496
      9.140     38.604    218.490    160.003     77.212    -95.398    -21.216
      9.150     39.375    217.531    159.787     77.036    -96.384    -21.940
      9.160     40.144    216.562    159.564     76.855    -97.374    -22.670
      9.170     40.912    215.583    159.334     76.668    -98.369    -23.405
      9.180     41.678    214.595    159.096     76.477    -99.367    -24.145
      9.190     42.442    213.596    158.851     76.279   -100.370    -24.891
      9.200     43.203    212.587    158.598     76.077   -101.378    -25.643
      9.210     43.963    211.568    158.338     75.869   -102.390    -26.401
      9.220     44.721    210.539    158.070     75.655   -103.406    -27.164
      9.230     45.476    209.500    157.795     75.436   -104.428    -27.934
      9.240     46.229    208.451    157.512     75.211   -105.454    -28.709
      9.250     46.980    207.391    157.221     74.980   -106.485    -29.491
      9.260     47.729    206.321    156.922     74.743   -107.521    -30.279
      9.270     48.475    205.241    156.615     74.499   -108.562    -31.073
