#         t          m          x          y          z         vx         vy         vz
    400.000      0.008      2.300      2.316     -0.768   -107.099   -127.741      2.047
    400.000      0.008     -1.102     -2.067      1.171   -175.332   -157.170    -98.027
    400.000      0.008     -5.547      0.084     -2.909   -105.507    108.138   -137.774
    400.000      0.008     -3.144      3.904     -3.375    109.005    175.748     13.772
    400.000      0.008      2.545      6.926     -2.876    247.417    -32.879     -9.664
    400.000      0.008     -8.632     -7.137     -2.145   -151.462    147.889   -195.545
    400.000      0.008     22.698     17.780     -7.935    122.847    -57.440     80.076
    400.000      0.008      2.331      2.196      0.279    -97.618   -147.201     66.082
    400.000      0.008     -0.702      1.505     -0.052     37.165    192.898   -131.444
    400.000      0.008    -10.485     14.561    -13.589    150.384     65.313     43.871
    400.000      0.008      3.743      1.282      0.791   -195.194    -72.202    105.543
    400.000      0.008    -19.660    -37.846    -17.916    -79.926    -95.050    -79.357
    400.000      0.008      2.587      3.567      0.570    150.604     56.172     60.285
    400.000      0.008    -11.697     -7.737      2.830   -180.228     86.772    -66.417
    400.000      0.008    -20.017     -0.908     -1.666    -37.735    124.401    -61.381
    400.000      0.008      6.235     -1.452     -0.015     56.011   -113.145     -6.534
    400.000      0.008      1.014     19.892     -4.070    185.378    -49.031     44.272
    400.000      0.008     -3.838     -4.093      3.483   -165.934    109.989    -10.082
    400.000      0.008     -0.752     -5.128      1.912   -270.702    -70.700     42.777
    400.000      0.008      4.414    -16.001      7.934    -89.191      1.174    -23.501
    400.000      0.008      1.014     -0.113      0.781    -11.154   -198.824    -56.831
    400.000      0.008      1.331      0.704     -0.148    -90.210   -158.379   -291.563
    400.000      0.008     -0.044      0.825     -0.565    254.060    100.064    194.442
    400.000      0.008      7.382      7.562     -0.693    188.794    -42.492     61.682
    400.000      0.008      1.394      4.526     -1.084    236.213     47.591     24.236
    400.000      0.008      3.563      0.921      0.069    -33.501   -258.143    250.743
    400.000      0.008     -2.991     11.689     -3.759    170.070     63.994     14.116
    400.000      0.008      1.441      0.688     -0.359   -158.838   -128.872    400.550
    400.000      0.008      0.041      0.209      0.590   -118.920    -15.997    -99.885
    400.000      0.008     -2.401     -0.916     -0.140    143.436    100.396      7.359
    400.000      0.008      3.178      1.091      0.594    121.190   -189.526    161.514
    400.000      0.008      0.153      0.572      0.056    121.744    132.395     33.339
    400.000      0.008     -3.794     -0.764      2.820    -81.247     93.088    -25.203
    400.000      0.008      0.216     -0.861      0.621     59.956     33.625     13.941
    400.000      0.008      2.505      2.983      0.156    -61.533   -147.032    -45.227
    400.000      0.008      1.996      5.173     -1.550    220.603    -50.105     76.375
    400.000      0.008     -6.438     10.049     -7.509    173.634    113.767     17.622
    400.000      0.008      2.330     -0.279      1.521   -120.221    -13.867    205.794
    400.000      0.008     -8.388     -2.254      3.316    -72.209     56.091     45.421
    400.000      0.008     -5.271     -1.884     -0.403     -4.910    174.717    -36.774
    400.000      0.008     -2.952     -1.702      2.263   -102.745     18.794   -110.423
    400.000      0.008     -6.023     13.716     -2.932    267.241    -31.147     15.122
    400.000      0.008     -4.202      0.777      0.363     90.030    214.326    -71.374
    400.000      0.008      1.100      0.513      0.297   -230.319   -390.617    -28.310
    400.000      0.008      7.832     -9.975      5.784   -176.677      0.300    -58.935
    400.000      0.008      1.810      4.234     -0.689    162.079    111.470    -10.381
    400.000      0.008      1.498      0.484      0.475    175.269    118.311     70.243
    400.000      0.008     -4.465     22.687    -32.901     66.777    136.227    -15.434
    400.000      0.008     30.674      1.802     13.294     49.243    -57.819     67.415
    400.000      0.008      0.574      0.647      0.408    114.515    131.994    136.549
    400.000      0.008     18.412     -5.580      6.719     54.978   -150.892     92.141
    400.000      0.008     -0.381     -1.069      0.929   -271.229    -34.760    151.271
    400.000      0.008     11.988      3.408      0.869   -121.788    -84.336     88.779
    400.000      0.008      1.047      0.675      0.401   -126.009     -6.798    190.152
    400.000      0.008     -2.640     -2.256      2.595   -146.722     67.047    -66.193
    400.000      0.008      1.004      0.142      0.665     95.185    -15.543     78.615
    400.000      0.008     11.856      6.757     -0.351    206.792   -179.227     78.366
    400.000      0.008     10.662    -33.025     14.267   -118.502   -112.556    -13.798
    400.000      0.008      0.750      1.476     -0.094    370.194     26.439    146.709
    400.000      0.008      7.479      2.428     -1.138    135.492   -179.657    -14.862
    400.000      0.008      1.266      9.806     -4.457    219.079     55.819     -7.007
    400.000      0.008     -5.386      6.867     -7.824    202.825    149.331    -37.758
    400.000      0.008      0.437      0.832      0.146     64.189    173.996     98.742
    400.000      0.008      6.079    -17.643      3.962    -91.682    -81.113   -113.970
    400.000      0.008      0.466     -0.196      0.600     -5.462    -61.272     71.398
    400.000      0.008      2.662     15.776     -3.581    186.594   -105.125     56.179
    400.000      0.008    -11.609     -6.946      0.525    -46.699     29.138    -22.697
    400.000      0.008      0.740      1.100      0.464   -308.650     42.022   -184.391
    400.000      0.008     -3.736     -1.015     -3.077     68.491    128.335    -74.715
    400.000      0.008     -0.005     -0.025      0.262   -253.501   -221.035    -64.783
    400.000      0.008      0.631      0.983     -0.114   -133.433   -165.426    253.403
    400.000      0.008     -1.156      0.207      0.469     15.252     10.710   -183.493
    400.000      0.008     -2.940     -4.714      1.350   -112.039     76.806     16.409
    400.000      0.008      1.021      2.241     -0.661     61.260    159.908    -26.991
    400.000      0.008      3.104     -3.434      2.012   -221.794   -118.141      2.050
    400.000      0.008      1.998     -1.152     -0.251    -19.189   -166.355    -16.099
    400.000      0.008     18.655      5.904      4.183    -92.975   -163.230     45.337
    400.000      0.008      0.321      1.158     -0.105    388.987    130.473    -86.854
    400.000      0.008      1.685      1.900     -0.104     48.289    -35.473   -146.266
    400.000      0.008     -1.181      0.125     -0.684   -245.902    -23.771    -95.113
    400.000      0.008      1.377     -0.321      0.035    175.348   -138.268     66.462
    400.000      0.008      5.796      2.296      1.296     77.888    -71.780    229.369
    400.000      0.008     -4.724     -7.823      2.905    -82.754    102.749    -48.955
    400.000      0.008      1.608      0.073      0.861   -233.422    -92.862    -38.156
    400.000      0.008     -3.110     -0.809      0.186   -137.572     76.424    -74.444
    400.000      0.008     -5.550     16.871     -5.478     92.589     79.819    -77.899
    400.000      0.008      3.315      2.204      0.735     14.833    -87.784    119.949
    400.000      0.008     -0.703     -0.293      0.202   -237.990    156.651     14.792
    400.000      0.008      4.232      3.905     -3.502    186.831    -39.726     -1.066
    400.000      0.008      0.624    -16.662      0.839   -211.143    -49.241    -45.980
    400.000      0.008    -12.953      2.993     -3.849     80.858    163.317    -38.670
    400.000      0.008     13.856     13.173      0.347    233.275     18.992    103.076
    400.000      0.008      9.185      1.179      3.596    -95.687   -154.737     50.195
    400.000      0.008      1.702      3.941      0.099    187.995    -80.772     36.281
    400.000      0.008     -3.278      4.697     -0.060    -28.663    189.587     25.991
    400.000      0.008     -2.195     -0.049     -0.031    -12.764    163.132    -51.032
    400.000      0.008     -6.530     -5.680      1.813   -115.798     63.586    -78.526
    400.000      0.008     -0.836      0.034      0.178    -41.425    301.762     61.218
    400.000      0.008      1.826     -0.703      2.324    -27.742   -306.416     18.304
    400.000      0.008      3.251      2.969      0.848    -76.520   -186.200      5.480
    400.000      0.008      3.778    -48.637      9.122   -143.821    -49.825    -52.472
    400.000      0.008      1.197     16.955     -5.695    260.466     29.755     67.225
    400.000      0.008      2.171      0.789     -0.240     41.381   -190.555    -46.423
    400.000      0.008     -0.083     -0.083     -0.373     14.193     59.813   -182.110
    400.000      0.008     -7.110      7.151     -1.177    -35.543    125.718    -69.739
    400.000      0.008     -0.657     -0.194      0.304     28.234   -170.942   -136.160
    400.000      0.008    -14.891     25.537    -17.214    137.087    129.554      5.849
    400.000      0.008     -0.989     -2.620      1.589   -183.762    204.826    -21.601
    400.000      0.008      1.282      1.330      0.182   -211.791   -307.645     33.413
    400.000      0.008     21.549     -0.971     12.128     15.940   -232.259     83.963
    400.000      0.008     -1.820     -2.372      1.452   -242.373    -11.708    -55.472
    400.000      0.008      1.411    -11.386      8.077   -136.008     25.557    -88.732
    400.000      0.008      1.053      0.613     -0.093    156.618   -161.541     22.747
    400.000      0.008      9.616     -2.009      1.562    -30.898   -197.234     89.903
    400.000      0.008      4.475      3.146      1.598    182.048   -171.557    206.535
    400.000      0.008     -2.550    -17.274      7.309   -214.021     63.426   -104.781
    400.000      0.008      4.098      2.791     -3.615     93.322   -154.602    114.129
    400.000      0.008      4.631      1.238      0.619    -25.091   -138.405    108.732
    400.000      0.008      0.242      0.584      0.278    147.140    149.621   -294.135
    400.000      0.008     -7.624      7.387     -4.910    153.168    116.636    -43.649
    400.000      0.008     30.769     13.741     19.574   -100.054    -68.212     28.298
    400.000      0.008     10.451      1.173      1.372     15.962   -156.965     96.260
    400.000      0.008      3.256    -17.195     -1.374   -174.575    -35.630     -6.998
    400.000      0.008      2.266      2.307     -0.545     41.278   -241.146    171.098
    400.000      0.008    -10.295    -13.340      2.873    -97.866    142.290    -75.443
    400.000      0.008    -11.240     11.461     -5.300    107.121    153.529    -59.816
    400.000      0.008     19.921     -9.046     16.547   -106.790   -136.066     -0.028
    400.000      0.008     -0.704      0.129      0.728     -3.632     -3.143     50.183
    400.000      0.008      1.736      0.147     -0.365   -279.279    -52.215     26.026
    400.000      0.008      0.591      1.956      0.201    -38.634   -159.895    164.047
    400.000      0.008     -5.744      4.448     -2.968    180.764     41.637     91.355
    400.000      0.008      6.987    -21.668     23.561   -153.182    -39.294    -55.474
    400.000      0.008     -1.293      1.406      0.756     82.285    101.117    -95.594
    400.000      0.008     -0.275      0.872      0.436    -14.438    -50.730    -42.731
    400.000      0.008      0.232      0.353      0.887   -244.804   -222.220    154.977
    400.000      0.008      0.278     -1.663      0.831    -10.125    160.248   -147.481
    400.000      0.008     -0.331      1.352     -1.094    -51.677     40.451    -81.762
    400.000      0.008    -25.667    -36.615    -14.653    -80.185     12.190   -178.675
    400.000      0.008      3.255     -0.244     -0.169     -5.420     13.025     28.967
    400.000      0.008     -2.726    -13.605      5.196   -212.936     64.002    -94.643
    400.000      0.008      0.323      0.175      0.151    224.720     72.200    -72.707
    400.000      0.008     -1.122      0.304      0.735     90.848    -78.468   -104.468
    400.000      0.008    -15.981     -1.309     -1.513    164.305    129.272    -23.348
    400.000      0.008     14.302     18.265     13.353     -6.266   -179.227     58.092
