#         t          m          x          y          z         vx         vy         vz
    500.000      0.008      2.406     -2.715     -9.374   -105.059     95.667    -63.077
    500.000      0.008      1.711      1.238      1.509     -0.741   -175.506   -130.932
    500.000      0.008     41.881     -5.272     22.188    109.240   -268.617     94.458
    500.000      0.008      1.700      0.529      0.833    359.961     45.399    310.374
    500.000      0.008     -5.117     -1.345     -3.886   -233.790      9.108   -228.890
    500.000      0.008    -21.733    -16.642    -11.562    -13.151    282.052     81.452
    500.000      0.008      0.020     -1.468     -0.339     65.843     35.705     93.962
    500.000      0.008     35.099    -43.895     31.811    -33.097   -213.941    -15.261
    500.000      0.008     -1.428     -5.700     -2.698    -16.894    440.164    216.491
    500.000      0.008     -0.782      0.326     -5.807    -14.151     60.889   -285.231
    500.000      0.008     -0.938      1.516     -2.975    364.159   -159.258    138.246
    500.000      0.008     -8.482     -0.338     -6.786     15.991   -198.977    -87.811
    500.000      0.008     16.504     13.516     -3.717    103.733   -128.327    -85.876
    500.000      0.008    -28.664      9.648    -34.172     49.718     15.595    -58.150
    500.000      0.008      7.707     32.914    -24.528    104.117    135.116    -18.014
    500.000      0.008     36.968    -24.733     53.429    -15.702   -125.850    126.040
    500.000      0.008     -4.036     10.955      3.971     -7.123     80.826     50.440
    500.000      0.008     -1.660      1.183      0.048   -256.273    -19.713   -320.535
    500.000      0.008     -1.039     -3.209     -0.621    -53.777     62.745    -66.212
    500.000      0.008      0.300     -0.281     -1.245    -76.107   -167.015    120.364
    500.000      0.008    -16.514     36.443     -8.231    136.795     20.345     28.246
    500.000      0.008    -18.922    -31.451    -15.393   -151.458   -230.806    -64.949
    500.000      0.008      6.852     10.571      3.170    -43.086    -79.349    -81.016
    500.000      0.008     -0.476      3.307      1.961    -51.864     80.041    -71.229
    500.000      0.008     33.105    -28.528     21.090    119.385   -253.034     68.700
    500.000      0.008     -3.185      9.722      7.960    203.097     -5.505     39.264
    500.000      0.008     -1.220     -2.293     -5.089   -235.944    -81.741    -12.281
    500.000      0.008      0.578      5.342      0.647    -39.290    293.106     28.686
    500.000      0.008     14.370     10.372      0.228   -107.307    -52.909     25.880
    500.000      0.008     36.607     -7.028     17.716    179.594   -277.377     94.287
    500.000      0.008      0.631      0.957      1.287     71.684     76.973   -264.273
    500.000      0.008     -3.347     37.033    -22.412    102.085     66.083     65.358
    500.000      0.008     -0.808     -7.729    -15.964   -136.140    -34.885    187.765
    500.000      0.008      0.801      1.822      1.466    106.025     12.979   -141.886
    500.000      0.008      1.267      0.641      0.761    -19.612    -17.329   -104.283
    500.000      0.008      0.415     -0.854      0.774   -503.447   -125.513      9.119
    500.000      0.008     -3.428      0.330      0.419     27.374    164.616    -63.897
    500.000      0.008     14.179      4.094     -7.100     22.950   -202.500   -207.207
    500.000      0.008    -27.315    -10.954    -11.516     34.225     38.489    -62.127
    500.000      0.008     44.836     -7.374     22.117    104.531   -261.946     75.918
    500.000      0.008     -1.157    -10.789     -8.677    -39.562     85.688     79.932
    500.000      0.008     -1.635      2.680      2.236    366.875    392.972    162.225
    500.000      0.008      0.799      0.034      1.610    -68.460     83.314     -3.903
    500.000      0.008     -9.763     -6.583      3.663    244.907    192.752    242.046
    500.000      0.008     -1.035     34.688    -17.617    118.310    154.705     39.052
    500.000      0.008      1.312     -1.599     -0.393   -153.154    122.525      4.406
    500.000      0.008     -4.238     -3.286     -5.734     11.697    -27.236   -212.437
    500.000      0.008     31.210      6.750      9.315    159.167     -9.609     40.155
    500.000      0.008      0.056     -0.434      2.861   -272.656   -336.961    295.924
    500.000      0.008      6.082      1.786     -4.701    -14.205     -3.505    -98.358
    500.000      0.008      0.476      1.941      1.654   -157.077    -58.835   -192.625
    500.000      0.008      3.120     -2.029    -14.062     25.052    -81.087   -104.916
    500.000      0.008     -4.337      5.709     -1.903    201.044     25.474    153.405
    500.000      0.008     30.007    -53.645     41.491    -62.242    -98.796     30.091
    500.000      0.008     -4.213     19.033      5.297     59.752    131.864     75.975
    500.000      0.008     -3.566     12.523     -4.241    -69.904   -247.029    -88.864
    500.000      0.008      1.636     10.633      7.784     52.597     37.324    100.237
    500.000      0.008      0.614      1.201      0.403    -98.284   -170.132   -185.718
    500.000      0.008     27.865     34.464     -0.070     24.352    -88.660     86.679
    500.000      0.008     -8.047    -48.481     -0.460    -99.380    148.579    -69.720
    500.000      0.008     35.811    -20.324     58.356    -41.894   -115.609     94.716
