#         t          m          x          y          z         vx         vy         vz
    425.000      0.008     -0.373      0.688     -1.421     63.217     49.054    128.320
    425.000      0.008     12.806      6.952      9.074    -34.433     -4.595      2.045
    425.000      0.008     -3.049     -1.330      3.962    -81.967     91.547   -103.019
    425.000      0.008     -0.835     -4.372      4.343   -175.602    -21.942     34.954
    425.000      0.008     -0.051      1.456     -2.396    135.955    -77.247     25.049
    425.000      0.008      1.908     -0.133     -0.368     27.299    -38.666    165.575
    425.000      0.008      5.219      0.160      3.732    -82.333   -110.024    172.351
    425.000      0.008     24.692     27.824     24.483    122.366     97.608    -58.595
    425.000      0.008    -35.320     -0.298    -13.254   -189.618     67.003   -143.603
    425.000      0.008    -14.175    -31.922     -7.910   -285.045     14.729   -155.987
    425.000      0.008    -27.902    -18.429    -10.122   -214.701    -11.759   -155.792
    425.000      0.008      0.470      0.415     -1.486      2.594     78.973     90.459
    425.000      0.008     -1.359      2.497     -2.282    288.913    -24.493    -53.286
    425.000      0.008    -22.688      5.246    -22.481    -50.228    122.415    -31.851
    425.000      0.008     35.981     23.292      6.803     41.001   -119.596   -106.287
    425.000      0.008      4.135      1.933     -0.549     78.095   -180.985    125.024
    425.000      0.008      5.793      0.355      3.189    -28.424    -97.847     76.289
    425.000      0.008      1.475      0.088     -0.505    -76.389   -224.486     44.161
    425.000      0.008    -34.559    -24.107    -16.156   -229.404     -2.900   -117.980
    425.000      0.008      1.003     -0.528     -1.129     -9.961   -265.380     85.167
    425.000      0.008     -0.059     -6.174      2.064   -141.699     24.589   -104.537
    425.000      0.008    -30.046     -7.926     -9.100   -150.643     55.947   -131.439
    425.000      0.008      9.577      4.518      7.502    -46.404   -147.856    180.442
    425.000      0.008      0.923      1.955     -1.239    -20.249   -192.487    160.503
    425.000      0.008      1.602     -1.829      0.465   -326.339    -21.913     61.589
    425.000      0.008     27.764      5.987      3.604    -66.370    208.863    186.770
    425.000      0.008      0.661     -1.474      2.661    -60.808    -26.354     88.155
    425.000      0.008     11.890      2.698      6.941   -102.370    -13.175    203.127
    425.000      0.008    -33.078    -18.129     -0.859   -295.693    -58.355   -105.293
    425.000      0.008      0.713     -2.064     -0.379     18.205   -291.838      8.226
    425.000      0.008      8.967      0.488     10.054    -77.558    -45.120     96.130
    425.000      0.008      1.462     -0.436     -0.255    253.535     20.146     21.407
    425.000      0.008      0.348      0.034     -1.107    213.857    -60.741    101.963
    425.000      0.008     -4.075     -0.952      3.976   -120.261     66.743   -194.373
    425.000      0.008     12.601     28.108     -1.906   -156.785    -80.015   -141.768
    425.000      0.008      1.251     -0.814     -1.137   -189.436   -352.543    124.214
    425.000      0.008      3.576      1.982      2.713    -95.341   -118.803      8.062
    425.000      0.008     35.397     38.629     12.532     47.835     58.761   -143.593
