#         t          m          x          y          z         vx         vy         vz
    425.000      0.008     24.692     27.824     24.483    122.366     97.608    -58.595
    425.000      0.008     35.981     23.292      6.803     41.001   -119.596   -106.287
    425.000      0.008    -34.559    -24.107    -16.156   -229.404     -2.900   -117.980
    425.000      0.008     35.397     38.629     12.532     47.835     58.761   -143.593
    425.000      0.008     27.585     31.682     25.313    -25.090    290.766   -104.696
    425.000      0.008    -28.401    -26.771      7.639   -186.805    -66.582    -78.969
    425.000      0.008    -24.711     -3.518    -36.372     -9.073    111.795    -15.886
    425.000      0.008     28.396     24.613     21.840    172.319    189.453    107.498
    425.000      0.008     31.763     28.697     31.049    -54.313    225.928    -54.577
    425.000      0.008     26.468     28.952     20.364    142.593     77.721   -117.613
    425.000      0.008     30.748     29.405     15.240    173.800     14.931   -151.289
    425.000      0.008    -38.663    -17.942    -12.483   -236.848     -1.573   -155.453
    425.000      0.008     29.998     30.258     17.754    126.457      9.080   -180.021
    425.000      0.008     24.019    -14.978     28.920    -23.887    -11.670     93.097
    425.000      0.008     27.134     21.256     17.674    250.608    223.826   -137.496
    425.000      0.008     23.720     28.869     14.316     36.824     17.992     56.835
    425.000      0.008     24.947     23.397     19.121    266.576     77.134    -39.569
    425.000      0.008     36.645     33.234     14.023    -88.380     -8.189    -58.884
    425.000      0.008     -3.903     13.137    -46.201     10.916    121.691    -26.138
    425.000      0.008     31.634     20.831     14.774   -264.481    363.606    216.267
    425.000      0.008    -30.449    -25.729    -12.521   -222.426     -2.910   -106.722
    425.000      0.008    -17.272    -42.238     -4.667   -247.196    -53.527   -131.894
    425.000      0.008     -7.132    -39.733    -15.252   -219.801    -39.920   -130.377
    425.000      0.008     35.578     35.225     15.895     32.037     42.215   -118.565
    425.000      0.008     26.642     34.748      6.455    -63.609    -16.189   -197.028
    425.000      0.008    -17.072    -34.230     -8.326   -289.432    -94.831   -169.696
    425.000      0.008     13.490    -36.427     21.003    -90.153   -196.199     67.134
    425.000      0.008     28.268     26.178     12.936    194.327     61.270   -291.178
    425.000      0.008     35.019     28.177     22.455    118.402    115.096     55.372
    425.000      0.008     26.179     27.236     15.974    246.265    110.097    -82.930
    425.000      0.008     40.596     30.738      9.208      4.010    -74.636    -84.474
    425.000      0.008     29.849     32.172     20.164    154.959     37.993    -35.994
    425.000      0.008    -21.152    -38.000    -19.464   -189.683     41.849   -111.791
    425.000      0.008     33.517     27.888      3.857    -18.988   -130.297   -134.626
    425.000      0.008      8.381    -36.361      9.179   -113.318    -42.718    -50.230
    425.000      0.008    -38.679    -19.899     -6.461   -227.806      3.966   -102.891
    425.000      0.008     28.357     32.340      9.439   -102.815    -43.216    -84.443
    425.000      0.008     35.126     21.379      4.717    -58.961   -135.456    -16.527
    425.000      0.008     36.385     23.811     22.450    165.735    -21.054     71.244
    425.000      0.008    -14.330    -37.502     -0.542   -304.211    -86.715   -117.492
    425.000      0.008     28.441     25.547     20.178   -203.927    392.460      3.854
    425.000      0.008     18.212    -20.287     28.672    -43.527    -34.052     73.858
    425.000      0.008    -18.071    -38.551    -10.655   -185.761    -32.675    -59.314
    425.000      0.008     24.606    -32.092      7.540    -61.390   -140.897      1.242
    425.000      0.008     40.541     22.333     11.213    -22.570   -124.065    -40.195
    425.000      0.008     21.455     25.849     24.049    113.115    141.479     89.810
    425.000      0.008     29.260     35.687     16.088    137.081    157.814    -50.127
    425.000      0.008     32.674     25.431      9.907    -35.537     19.322   -262.864
    425.000      0.008      3.055    -38.068      9.347   -307.194   -181.790   -194.565
    425.000      0.008     31.296     27.221     23.128    141.214    126.367    -26.367
    425.000      0.008    -21.905    -34.178     -7.416   -318.817    -91.361   -128.396
    425.000      0.008    -28.938    -27.208     -3.886   -332.119    -21.843   -109.404
    425.000      0.008     33.158     27.140      1.553     -5.380   -153.872   -138.011
    425.000      0.008     26.553     29.383     19.738   -262.398    328.092    -51.371
    425.000      0.008     11.556    -17.816     33.022   -111.694   -287.745    172.090
    425.000      0.008    -22.779    -19.343    -24.462   -164.949    123.694   -159.956
    425.000      0.008     39.070     26.365      7.208    -76.088   -132.201    -82.824
    425.000      0.008     29.772     20.321     24.812      9.013   -147.994    260.832
    425.000      0.008     -9.610    -35.816    -16.850   -270.608    -31.893   -178.501
    425.000      0.008     35.850     21.985      8.908     -5.355   -219.995    -68.671
    425.000      0.008     33.727     17.017     14.853   -146.263    283.404    209.770
    425.000      0.008     19.823    -20.235     29.675    -38.959    -18.707     15.162
    425.000      0.008      6.009     25.381    -29.363     34.476     38.862     67.347
    425.000      0.008     28.871     28.564     31.291      1.772    223.100    -53.088
    425.000      0.008     19.331    -52.076     27.232    -55.970   -204.418     40.202
    425.000      0.008     27.378     29.338     22.383     79.217    280.095    -61.083
    425.000      0.008     33.155     33.095     17.224    152.641     14.789    -21.640
    425.000      0.008    -40.880    -10.713     -7.081   -271.790      4.230    -96.960
    425.000      0.008    -26.558    -40.164    -12.949   -271.454    -82.713   -131.921
    425.000      0.008    -37.278    -13.799    -25.805    -66.593    105.623    -14.804
    425.000      0.008     37.560     30.615     29.087     73.731     -5.315     49.373
    425.000      0.008     32.449     25.327     12.207    204.787   -155.036     54.737
    425.000      0.008     26.210     21.459     18.641    -29.626   -226.801    221.667
    425.000      0.008     29.500     33.830      4.627     23.752    -49.104   -183.162
    425.000      0.008     18.082    -16.913     52.545    -70.063   -106.899    170.898
    425.000      0.008     35.224     29.710     15.741     89.458   -177.393    -87.531
    425.000      0.008    -27.920    -19.366    -29.740   -104.966    123.595    -29.453
    425.000      0.008     25.143     42.824     11.946    -87.975    153.650   -105.704
    425.000      0.008     36.834     34.042     13.147     -5.173    -24.214   -140.566
    425.000      0.008    -22.248      2.498    -37.306    -25.525    146.218    -49.485
    425.000      0.008    -33.928    -19.248     -7.836   -278.315     -5.017   -131.909
    425.000      0.008    -39.426    -18.849     -6.516   -285.003    -31.783   -108.341
