#         t          m          x          y          z         vx         vy         vz
    450.000      0.008     -0.572     -0.598     -0.831    236.637     12.654    256.316
    450.000      0.008     -3.826     -1.051      0.053    192.399     24.482     18.517
    450.000      0.008      5.248     -2.441     27.738    -47.588    -62.659    -26.618
    450.000      0.008      2.674      1.346      1.950    -38.755    -70.244    116.360
    450.000      0.008    -34.560      7.091    -25.887    188.696     88.499     42.452
    450.000      0.008     -0.152      0.168      1.016    136.296   -211.964     54.695
    450.000      0.008     15.506     10.411      0.808    271.058    -24.632    256.379
    450.000      0.008     14.370     16.590     -3.237    282.852    151.695     47.512
    450.000      0.008      3.634     -0.203     -2.870     30.885     19.789     39.752
    450.000      0.008    -10.856     15.445    -10.749     87.499     96.446    -14.252
    450.000      0.008      1.287      1.033      3.023    -56.714     -0.097   -129.140
    450.000      0.008      0.255     -0.902     -1.511    169.034   -377.114   -401.902
    450.000      0.008     19.319      9.370     13.582    -65.862    -62.834     53.647
    450.000      0.008      1.637     -0.411     -3.367    405.653     -6.665   -189.953
    450.000      0.008      2.200     -2.875     -1.160     73.573   -325.099    172.283
    450.000      0.008    -84.337     -3.487    -35.945     19.565     96.663    -12.773
    450.000      0.008     -0.443      2.489     -1.688    197.632   -224.719    -55.309
    450.000      0.008     -1.504     -0.221     -2.400    157.831    -25.313    210.817
    450.000      0.008     -2.101     -1.061     -1.637     69.362     77.717   -128.912
    450.000      0.008      5.580      3.628     -9.694     14.459     -2.584     38.860
    450.000      0.008      5.518      4.138     16.632   -185.879     -4.599    -68.193
    450.000      0.008    -54.292      1.425    -34.420    124.317     42.907     42.548
    450.000      0.008     -8.456     14.400     -2.499    293.140    203.034    139.023
    450.000      0.008     -1.463      0.177      0.080    116.621    -80.034   -186.154
    450.000      0.008     10.511     -0.447     -2.888    -70.246     27.572     52.993
    450.000      0.008      1.117      1.352      1.390    112.591     89.528    115.149
    450.000      0.008     31.770     13.017     25.723     17.015     11.904     91.864
    450.000      0.008      0.212     -1.205     -0.672    -31.819     40.439     65.634
    450.000      0.008      1.771      2.864     22.674    -19.594    -72.655   -128.647
    450.000      0.008     -2.621     -3.333     -9.399    -18.367   -231.910    130.129
    450.000      0.008     -5.800     -5.978    -10.717    -65.226    -78.808    -93.728
    450.000      0.008      0.602      0.354      1.107    -42.683    -76.083     22.064
    450.000      0.008      3.090     -1.506     -1.202   -326.204      6.034     47.688
    450.000      0.008     17.957     13.250    -14.292    -52.919    -47.835     76.295
    450.000      0.008     -7.849     -4.032      4.761   -142.793     49.975    233.119
    450.000      0.008     15.506     10.411      0.808    271.058    -24.632    256.379
    450.000      0.008     -0.709      6.552     -4.365    -46.462   -173.647    -78.211
    450.000      0.008      7.175      2.141      6.215     12.675   -181.762     55.521
    450.000      0.008     -1.435      2.547      2.890    -76.450    -72.017     -3.631
    450.000      0.008     -0.429      0.967     -0.029     83.306   -108.277     63.524
    450.000      0.008     -0.271      0.156     -0.276    117.972    506.755    177.192
    450.000      0.008     27.130     -7.868     18.499     -2.252    -99.006      4.972
    450.000      0.008      0.498     -1.871     -0.061    156.148    -34.597    247.059
    450.000      0.008      6.926     -1.685      0.096   -196.325     46.455    110.906
    450.000      0.008      0.823     -7.814     -2.801    238.198    110.078    116.600
    450.000      0.008     -1.216     22.084    -15.637    -41.049    -41.499    -40.549
    450.000      0.008      0.371      5.733      7.146   -185.599   -164.949   -234.541
    450.000      0.008     -3.794    -12.331     13.748    -34.285   -105.651    233.960
    450.000      0.008     -1.105     -0.545     -1.648   -272.106   -109.726      6.747
    450.000      0.008      0.571     -0.194     -0.084    114.886    247.294    263.959
    450.000      0.008     -0.669      0.047      0.464   -154.466   -290.048    -24.439
    450.000      0.008      0.133      3.707      4.784    131.176    295.841   -151.663
    450.000      0.008     46.785    -13.830     10.402    122.864    -21.907     45.027
    450.000      0.008    -22.202    -22.197     -3.911     53.691    267.028   -102.213
    450.000      0.008      6.390      3.505     24.526    -14.162    -60.322   -101.612
    450.000      0.008      0.254      0.124      0.902   -466.803   -125.958   -187.766
    450.000      0.008      0.222      0.748      1.973    -20.632    -24.426   -231.440
    450.000      0.008      2.730      3.200     -1.408     70.108    274.561     85.064
    450.000      0.008     -4.347     -2.781     -4.499    -78.794    -86.623     17.648
    450.000      0.008     -0.503      0.372      0.378    -53.372    -31.346    238.314
    450.000      0.008     -1.304     -1.016     -1.126   -253.261    537.760     40.628
    450.000      0.008    -10.352     20.836     -7.836     16.049     79.008    -13.445
    450.000      0.008     -1.824     -0.463     -2.043    156.003    -27.880     -8.172
    450.000      0.008     -0.599      1.418      1.935    265.208   -152.728   -320.371
    450.000      0.008    -10.617    -13.910     13.849    -31.028     19.491    208.004
    450.000      0.008    -11.124     10.527    -14.547    306.122    -11.112    184.634
    450.000      0.008     -0.559     -3.122     -2.252    -60.839     98.911    140.149
    450.000      0.008     -2.401      0.173      2.014   -189.354    141.248    -64.254
    450.000      0.008      0.400     -0.481     -0.866    -96.509   -180.466    -87.346
    450.000      0.008      5.520     10.798      0.305    -69.634   -249.332     41.935
    450.000      0.008     12.408    -10.428     -2.176     60.487    -11.398      6.313
    450.000      0.008     -1.052     -2.394     -3.147    -90.762     58.008    151.454
    450.000      0.008    -36.877    -24.579    -40.319    113.374    100.782    -13.270
    450.000      0.008    -38.008      7.222      9.179    -39.360     40.431     32.717
    450.000      0.008     17.846     10.106     17.547    112.609   -128.847    249.440
    450.000      0.008     12.505     -7.790      6.170     88.895    118.188     70.061
    450.000      0.008     64.202   -136.872    -84.487     49.779   -150.804    -71.136
    450.000      0.008      1.630     -3.827     -3.040     34.301   -249.919    -82.831
    450.000      0.008      6.294      8.707     12.404   -135.236   -142.396    -32.606
    450.000      0.008     18.875    -18.467     20.811     64.175   -190.203    148.897
    450.000      0.008     -0.086     -2.511     34.633    -84.995    -33.474    149.782
    450.000      0.008     18.518     14.997     12.641    185.072    -83.304    224.484
    450.000      0.008      1.406      0.931      1.629     31.627   -208.316    250.550
    450.000      0.008     -4.074    -24.026    -23.057    -45.651   -128.773     39.986
    450.000      0.008     30.666     15.134     17.488    -19.006      1.472     77.378
    450.000      0.008     -3.551     -5.869     19.094     -8.378     11.331   -162.182
    450.000      0.008      0.906      5.154      1.761    -97.610    -63.090    135.532
    450.000      0.008    -31.892     17.692    -19.866    202.518      6.779     90.442
    450.000      0.008      1.078     -3.474     -4.081   -236.608    -97.932    290.536
    450.000      0.008    -58.624     11.569    -32.125     57.881    157.401     40.098
    450.000      0.008     -1.135      0.107      0.174   -147.640   -185.536   -430.359
    450.000      0.008      0.384     -0.111      1.032   -416.032    107.561   -336.673
    450.000      0.008    -49.569     44.715    -76.510     19.165     69.883     -4.154
    450.000      0.008      4.169     20.679     26.007    -13.089    184.330    227.373
    450.000      0.008     12.850      8.996     11.250    -35.437    101.307   -146.596
    450.000      0.008     -8.353     -0.896     16.605    -14.664    -54.169   -164.225
    450.000      0.008    -10.674     -9.722      4.601   -200.054   -220.727    123.598
    450.000      0.008    -11.592      3.581      9.137    112.252    188.807    139.193
    450.000      0.008    -22.144     12.511    -21.138    229.116     98.543     97.108
    450.000      0.008     -0.185     -0.202      3.283   -130.280    117.968      9.702
    450.000      0.008     -0.090      2.065      0.396    117.866    -49.413    -72.648
    450.000      0.008    -34.845     16.004      4.573      4.623   -123.227   -104.801
    450.000      0.008      5.474     -3.556     13.420   -118.510     -3.235   -198.291
    450.000      0.008     16.196      0.802     16.608     92.276    -27.619    324.462
    450.000      0.008     22.713     18.205     15.900    137.961    -58.976    208.226
    450.000      0.008     -1.594     -1.564      2.572   -119.602     -9.868     96.068
    450.000      0.008     -0.572      0.778      1.173    100.662     62.369     12.372
    450.000      0.008    -14.475     17.749     14.708     79.428     81.189     39.460
    450.000      0.008     13.279    -10.099     21.069    -91.520    -36.992    -49.865
    450.000      0.008      0.099      1.639      3.228     86.951    -95.529    -99.983
    450.000      0.008      0.887     -1.596      0.340    123.623   -293.102   -169.279
    450.000      0.008     -2.632      1.594    -10.125    -13.143    118.144   -193.249
    450.000      0.008    -40.041     25.231     30.802    -52.521    -34.383    -24.980
    450.000      0.008      0.897      6.241     -7.326     35.159    -43.998    162.147
    450.000      0.008     12.469      6.913      4.828    196.647   -129.697    330.052
    450.000      0.008      5.617      4.124     -9.150     10.019     10.159     91.734
    450.000      0.008      6.667     -7.388     -5.613     78.332    -34.356    -39.673
    450.000      0.008      3.769      1.974     -0.192    244.545     29.720    308.084
    450.000      0.008     -8.835     -6.718     -1.385   -176.826    -48.695     49.231
    450.000      0.008      9.307     10.788     -2.752   -216.005   -265.199    -58.172
    450.000      0.008     -2.365      2.066    -11.501    -37.894   -301.460    269.588
    450.000      0.008    -82.374    -13.332    -24.555     27.621     86.700    -24.040
    450.000      0.008     -0.585     -1.060     -1.522   -300.975     99.304   -171.724
    450.000      0.008      5.220      0.922     -4.071     61.838   -222.628   -125.061
    450.000      0.008     -3.802     -0.342      1.223    -48.839    -29.002   -146.478
    450.000      0.008      2.325     -3.676      0.258     61.394    -69.351    -33.890
    450.000      0.008     -4.854     -1.451    -13.267    -15.075   -161.357     79.209
    450.000      0.008     -1.741     -4.776     -9.106    -56.904    106.391     96.825
    450.000      0.008     -0.273      0.827      0.812    183.460    154.828    228.756
    450.000      0.008     -5.426     -1.566     -4.781   -113.137   -411.038    160.469
    450.000      0.008      0.990     -7.916     -1.040     32.124   -264.132   -165.038
