#         t          m          x          y          z         vx         vy         vz
    475.000      0.008     -1.114      0.073     -2.917    -86.630     28.675   -132.715
    475.000      0.008     -0.223     -0.863     -0.430    227.008   -258.173    317.240
    475.000      0.008      1.097      1.077      2.813   -106.512   -118.363    -52.285
    475.000      0.008     -1.474     -1.895      0.859    220.659    237.568    116.587
    475.000      0.008    -12.055    -13.228     16.206    141.896    120.255   -120.969
    475.000      0.008     -3.650     -3.737      3.693    -73.647   -299.426    -32.885
    475.000      0.008     -8.058    -10.840     34.948    -33.016     40.372   -185.255
    475.000      0.008     -2.316     -0.370      2.488   -136.719    211.910    314.807
    475.000      0.008     -1.321     -3.540     -2.442     10.509     67.638     61.164
    475.000      0.008     13.111    -38.053     34.313    -60.723     67.127   -112.856
    475.000      0.008      0.408      0.134     -0.613    178.874   -239.946   -149.980
    475.000      0.008     -1.877      0.615     -1.886    298.797     87.225   -223.478
    475.000      0.008      0.868     -7.631     -0.444     42.990   -141.334    119.116
    475.000      0.008     -2.830      1.822     -0.282   -327.325    158.310   -284.766
    475.000      0.008     -0.073     -0.108      0.080   -325.812     47.522     72.184
    475.000      0.008     -2.264      0.829      2.881   -184.587     63.947    136.483
    475.000      0.008     -2.891      1.107     11.334    -37.687     50.040    151.124
    475.000      0.008     -0.494     -0.030     -0.356    166.427      3.254    -55.036
    475.000      0.008     -5.964     17.531    -14.441    141.967    229.949     32.806
    475.000      0.008     -5.024     -8.118     -2.823     27.835    180.395    -48.766
    475.000      0.008      6.377     15.216    -10.890    298.460     10.517    263.259
    475.000      0.008     17.787    -28.456     49.397    -34.980    -47.650     24.767
    475.000      0.008      1.647     -2.785     -1.810   -259.504   -304.940     62.195
    475.000      0.008      9.069    -24.907     39.633    -76.622      1.112   -104.817
    475.000      0.008      4.437     -0.068      2.636    -50.127     13.930     50.507
    475.000      0.008      7.279      3.563    -14.336    -40.840    -28.760    246.099
    475.000      0.008     -2.572     -1.598     -1.147     -9.099   -196.590    -84.072
    475.000      0.008     -5.513     -3.490    -13.302    198.077     90.574    192.047
    475.000      0.008     -0.787     -0.039      0.660   -172.619     38.848     51.739
    475.000      0.008    -18.136    -21.016     25.858    103.757    165.327   -234.691
    475.000      0.008     -2.802      1.933     -3.641    277.884   -125.872    238.680
    475.000      0.008     -5.046     -1.423      2.954    209.302    239.117   -284.326
    475.000      0.008      1.254      5.217      6.832    190.434    241.339   -104.964
    475.000      0.008      1.712      0.510      1.474    137.428     57.234     -7.278
    475.000      0.008    -11.337    -21.835     -5.541    118.002    186.918     16.190
    475.000      0.008     -1.557     -2.860     -3.658      0.559     50.855    308.931
    475.000      0.008      4.218     13.930    -23.269     88.290    184.006    -74.661
    475.000      0.008     -0.428      2.107     -0.552    158.162    452.526    166.690
    475.000      0.008     21.562    -33.312     39.755    -64.916    -83.262     36.210
    475.000      0.008     -3.129      4.901     12.783     12.104    -29.917   -192.059
    475.000      0.008      1.526      0.178      0.558   -150.831    122.770   -151.601
    475.000      0.008      0.448      6.098     16.643    111.280    115.812    -62.958
    475.000      0.008     -0.909     -0.734     -2.222   -186.915   -414.359     40.160
